gate,logic,A,B,k,tumour_coverage,worst_normal_leak,worst_group,vital_leak,vital_group,strict_leak,strict_group,regen_leak,pseudobulk_leak,bulk_trap_gap,not_arm_falsifiable,not_arm_detect,audited_vital,unaudited_vital,leak_is_upper_bound,verdict,selective,protein_copositivity_status,transcript_only,multiple_testing_control
SDC1 AND CDH1,AND,SDC1,CDH1,2,0.023,0.343,papillary tips cell@kidney,0.015,skeletal_myocyte@bone marrow,0.343,papillary tips cell@kidney,0.049,0.034,-0.309,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
ERBB3 AND EPCAM,AND,ERBB3,EPCAM,2,0.045,0.355,tracheobronchial goblet cell@lung,0.057,pancreatic_islet@pancreas,0.355,tracheobronchial goblet cell@lung,0.025,0.047,-0.308,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
MUC1 AND ERBB3,AND,MUC1,ERBB3,2,0.027,0.374,respiratory goblet cell@lung,0.032,pancreatic_islet@pancreas,0.374,respiratory goblet cell@lung,0.004,0.047,-0.327,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
TACSTD2 AND ERBB3,AND,TACSTD2,ERBB3,2,0.026,0.374,respiratory goblet cell@lung,0.05,pancreatic_islet@pancreas,0.374,respiratory goblet cell@lung,0.001,0.047,-0.327,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
SDC1 AND FOLR1,AND,SDC1,FOLR1,2,0.019,0.384,urothelial cell@kidney,0.015,skeletal_myocyte@bone marrow,0.384,urothelial cell@kidney,0.007,0.034,-0.35,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
SDC1 AND EPCAM,AND,SDC1,EPCAM,2,0.038,0.386,epithelial cell of lung@lung,0.034,kidney_tubule@kidney,0.386,epithelial cell of lung@lung,0.03,0.034,-0.352,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
MUC1 AND CLDN18,AND,MUC1,CLDN18,2,0.014,0.395,pneumocyte@lung,0.015,skeletal_myocyte@bone marrow,0.395,pneumocyte@lung,0.004,0.02,-0.374,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
CD74 AND CLDN18,AND,CD74,CLDN18,2,0.016,0.399,pneumocyte@lung,0.015,skeletal_myocyte@bone marrow,0.399,pneumocyte@lung,0.001,0.02,-0.378,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
CD74 AND ERBB3,AND,CD74,ERBB3,2,0.029,0.4,tracheobronchial goblet cell@lung,0.024,pancreatic_islet@pancreas,0.4,tracheobronchial goblet cell@lung,0.033,0.047,-0.352,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
ERBB3 AND MUC16,AND,ERBB3,MUC16,2,0.005,0.4,tracheobronchial goblet cell@lung,0.015,skeletal_myocyte@bone marrow,0.4,tracheobronchial goblet cell@lung,0.001,0.03,-0.369,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
CD74 AND MET,AND,CD74,MET,2,0.023,0.402,respiratory goblet cell@lung,0.024,skeletal_myocyte@brain,0.402,respiratory goblet cell@lung,0.021,0.038,-0.364,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
TACSTD2 AND MET,AND,TACSTD2,MET,2,0.016,0.415,respiratory goblet cell@lung,0.023,pancreatic_islet@pancreas,0.415,respiratory goblet cell@lung,0.001,0.038,-0.377,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
MUC1 AND MET,AND,MUC1,MET,2,0.015,0.415,respiratory goblet cell@lung,0.015,skeletal_myocyte@bone marrow,0.415,respiratory goblet cell@lung,0.003,0.038,-0.377,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
SDC1 AND CD24,AND,SDC1,CD24,2,0.03,0.462,intrahepatic cholangiocyte@liver,0.043,kidney_tubule@kidney,0.462,intrahepatic cholangiocyte@liver,0.018,0.034,-0.429,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
ERBB3 AND CD24,AND,ERBB3,CD24,2,0.037,0.465,Schwann cell precursor@lung,0.06,pancreatic_islet@pancreas,0.465,Schwann cell precursor@lung,0.011,0.047,-0.418,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
MUC1 AND MSLN,AND,MUC1,MSLN,2,0.018,0.469,respiratory goblet cell@lung,0.015,skeletal_myocyte@bone marrow,0.469,respiratory goblet cell@lung,0.001,0.022,-0.447,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
MUC1 AND CEACAM5,AND,MUC1,CEACAM5,2,0.011,0.476,nasal mucosa goblet cell@lung,0.015,skeletal_myocyte@bone marrow,0.476,nasal mucosa goblet cell@lung,0.004,0.012,-0.464,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
ERBB2 AND CDH1,AND,ERBB2,CDH1,2,0.014,0.483,columnar/cuboidal epithelial cell@kidney,0.029,skeletal_myocyte@bone marrow,0.483,columnar/cuboidal epithelial cell@kidney,0.015,0.049,-0.434,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
TACSTD2 AND CEACAM5,AND,TACSTD2,CEACAM5,2,0.008,0.494,nasal mucosa goblet cell@lung,0.015,skeletal_myocyte@bone marrow,0.494,nasal mucosa goblet cell@lung,0.003,0.012,-0.483,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
ERBB2 AND EPCAM,AND,ERBB2,EPCAM,2,0.021,0.522,columnar/cuboidal epithelial cell@kidney,0.043,kidney_tubule@kidney,0.522,columnar/cuboidal epithelial cell@kidney,0.004,0.049,-0.473,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
CD74 AND CEACAM5,AND,CD74,CEACAM5,2,0.009,0.527,tracheobronchial goblet cell@lung,0.015,skeletal_myocyte@bone marrow,0.527,tracheobronchial goblet cell@lung,0.001,0.012,-0.516,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
ERBB2 AND CD24,AND,ERBB2,CD24,2,0.018,0.537,columnar/cuboidal epithelial cell@kidney,0.046,kidney_tubule@kidney,0.537,columnar/cuboidal epithelial cell@kidney,0.004,0.049,-0.488,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
CD74 AND PROM1,AND,CD74,PROM1,2,0.013,0.551,early promyelocyte@bone marrow,0.015,pancreatic_islet@pancreas,0.551,early promyelocyte@bone marrow,0.001,0.036,-0.516,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
CD74 AND CDH1,AND,CD74,CDH1,2,0.033,0.553,columnar/cuboidal epithelial cell@kidney,0.05,pancreatic_islet@pancreas,0.553,columnar/cuboidal epithelial cell@kidney,0.022,0.104,-0.449,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
TACSTD2 AND MSLN,AND,TACSTD2,MSLN,2,0.016,0.555,tracheobronchial goblet cell@lung,0.015,skeletal_myocyte@bone marrow,0.555,tracheobronchial goblet cell@lung,0.001,0.022,-0.533,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
CD74 AND MSLN,AND,CD74,MSLN,2,0.023,0.632,mesothelial cell of pleura@lung,0.015,skeletal_myocyte@bone marrow,0.632,mesothelial cell of pleura@lung,0.001,0.022,-0.61,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
TACSTD2 AND CDH1,AND,TACSTD2,CDH1,2,0.028,0.651,columnar/cuboidal epithelial cell@kidney,0.139,pancreatic_islet@pancreas,0.651,columnar/cuboidal epithelial cell@kidney,0.004,0.173,-0.478,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
MUC1 AND MUC16,AND,MUC1,MUC16,2,0.006,0.662,tracheobronchial goblet cell@lung,0.015,skeletal_myocyte@bone marrow,0.662,tracheobronchial goblet cell@lung,0.001,0.033,-0.629,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
CD74 AND FOLR1,AND,CD74,FOLR1,2,0.05,0.69,respiratory goblet cell@lung,0.026,kidney_tubule@kidney,0.69,respiratory goblet cell@lung,0.008,0.05,-0.64,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
TACSTD2 AND FOLR1,AND,TACSTD2,FOLR1,2,0.037,0.703,respiratory goblet cell@lung,0.015,skeletal_myocyte@bone marrow,0.703,respiratory goblet cell@lung,0.001,0.05,-0.653,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
MUC1 AND FOLR1,AND,MUC1,FOLR1,2,0.036,0.706,respiratory goblet cell@lung,0.015,skeletal_myocyte@bone marrow,0.706,respiratory goblet cell@lung,0.001,0.05,-0.656,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
CD74 AND EPCAM,AND,CD74,EPCAM,2,0.071,0.735,respiratory goblet cell@lung,0.132,kidney_tubule@kidney,0.735,respiratory goblet cell@lung,0.05,0.15,-0.585,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
MUC1 AND CDH1,AND,MUC1,CDH1,2,0.028,0.761,columnar/cuboidal epithelial cell@kidney,0.052,pancreatic_islet@pancreas,0.761,columnar/cuboidal epithelial cell@kidney,0.003,0.059,-0.701,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
TACSTD2 AND MUC16,AND,TACSTD2,MUC16,2,0.008,0.777,tracheobronchial goblet cell@lung,0.015,skeletal_myocyte@bone marrow,0.777,tracheobronchial goblet cell@lung,0.001,0.033,-0.744,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
TACSTD2 AND EPCAM,AND,TACSTD2,EPCAM,2,0.059,0.877,pulmonary ionocyte@lung,0.191,pancreatic_islet@pancreas,0.877,pulmonary ionocyte@lung,0.014,0.173,-0.704,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
CD74 AND MUC16,AND,CD74,MUC16,2,0.009,0.884,tracheobronchial goblet cell@lung,0.015,skeletal_myocyte@bone marrow,0.884,tracheobronchial goblet cell@lung,0.001,0.033,-0.851,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
TACSTD2 AND CD24,AND,TACSTD2,CD24,2,0.05,0.895,pulmonary ionocyte@lung,0.238,pancreatic_islet@pancreas,0.895,pulmonary ionocyte@lung,0.023,0.173,-0.722,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
MUC1 AND EPCAM,AND,MUC1,EPCAM,2,0.054,0.898,columnar/cuboidal epithelial cell@kidney,0.068,pancreatic_islet@pancreas,0.898,columnar/cuboidal epithelial cell@kidney,0.004,0.062,-0.836,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
MUC1 AND CD24,AND,MUC1,CD24,2,0.041,0.917,columnar/cuboidal epithelial cell@kidney,0.089,pancreatic_islet@pancreas,0.917,columnar/cuboidal epithelial cell@kidney,0.009,0.062,-0.856,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
CD74 AND CD24,AND,CD74,CD24,2,0.069,0.996,pro-B cell@lung,0.183,kidney_tubule@kidney,0.996,pro-B cell@lung,0.013,0.258,-0.737,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
